BASE_DE,GID_ID,GID_LO,GID_LA,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,ADSTRD_CD,ADSTRD_NM,WKDAY_NM,MVMN_TIME,SEXDSTN_FLAG_CD,AGRDE_CO,PDSTRN_POPLTN_CO,PDSTRN_ELSE_POPLTN_CO
20201116,"72,150,360",126.6669159,36.58617401,44,충청남도,4480,홍성군,44800250,홍성읍,월,15,F,4,3,4
20201115,"78,232,060",126.8716125,37.52490616,11,서울특별시,1147,양천구,11470510,목1동,일,18,F,5,10,7
20201115,"76,008,194",126.792984,37.52220917,41,경기도,4119,부천시,41190606,부천동,일,16,F,2,12,25
20201115,"133,557,383",128.8345184,37.87098694,42,강원도,4215,강릉시,42150370,연곡면,일,12,M,4,6,4
20201115,"78,232,060",126.8716125,37.52490616,11,서울특별시,1147,양천구,11470510,목1동,일,19,F,3,15,4
20201115,"85,671,906",127.1340485,37.66617203,41,경기도,4136,남양주시,41360310,별내면,일,11,M,5,4,6
20201115,"82,647,727",127.0279465,37.49994659,11,서울특별시,1168,강남구,11680640,역삼1동,일,22,M,2,33,3
20201115,"83,654,734",127.0659943,37.08094406,41,경기도,4122,평택시,41220560,송북동,일,15,F,5,4,4
20201115,"83,494,687",127.0605164,37.055233,41,경기도,4122,평택시,41220510,중앙동,일,21,F,3,3,3
20201115,"130,389,109",128.7184906,37.65954208,42,강원도,4276,평창군,42760380,대관령면,일,16,F,4,6,3
20201115,"85,671,906",127.1340485,37.66617203,41,경기도,4136,남양주시,41360310,별내면,일,15,F,6,4,4
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,17,M,7,20,3
20201109,"85,559,534",127.1309204,37.4953537,11,서울특별시,1171,송파구,11710632,가락2동,월,22,M,4,6,4
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,22,M,3,10,6
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,19,F,6,10,5
20201109,"85,559,534",127.1309204,37.4953537,11,서울특별시,1171,송파구,11710632,가락2동,월,21,F,1,20,6
